Text,Tag
PERSONAL,O
DETAILS,O
Name,O
:,O
Rhonda,B-NAME
Warner,I-NAME
Gender,O
:,O
Female,B-GENDER
Age,O
:,O
31,B-AGE
Date,O
of,O
Birth,O
:,O
21,B-DOB
-,I-DOB
11,I-DOB
-,I-DOB
1990,I-DOB
Citizenship,O
:,O
German,B-NATIONALITY
Marital,O
status,O
:,O
Single,O
Availability,O
:,O
21st,O
September,O
2017,O
CONTACT,O
DETAILS,O
Address,O
:,O
9307,B-ADDRESS
Stone,I-ADDRESS
Terrace,I-ADDRESS
,,I-ADDRESS
Port,I-ADDRESS
Jeffreyfort,I-ADDRESS
,,I-ADDRESS
CO,I-ADDRESS
61534,I-ADDRESS
Contact,O
Number,O
:,O
0297,B-PHONE
3108,I-PHONE
(,O
mobile,O
),O
Email,O
address,O
:,O
sandra70@gmail.com,B-EMAIL
,,O
sandra70@hotmail.com,B-EMAIL
CAREER,O
OBJECTIVES,O
To,O
work,O
for,O
a,O
dynamic,O
company,O
which,O
offers,O
professional,O
development,O
and,O
growth,O
potential,O
and,O
to,O
further,O
build,O
upon,O
my,O
work,O
and,O
academic,O
experience,O
to,O
benefit,O
the,O
employer,O
and,O
advance,O
my,O
career,O
.,O
WORK,O
EXPERIENCE,O
CapitaLand,O
China,O
Holdings,O
Pte,O
.,O
Ltd.,O
(,O
January,O
2016,O
to,O
June,O
2017)^,O
CapitaLand,O
Township,O
Pte,O
.,O
Ltd.,O
(,O
July,O
2010,O
to,O
December,O
2015,O
),O
*,O
^,O
transfer,O
of,O
employment,O
due,O
to,O
restructuring,O
*,O
formerly,O
known,O
as,O
Surbana,O
Township,O
Pte,O
.,O
Ltd.,O
Surbana,O
Land,O
Pte,O
Ltd,O
was,O
acquired,O
by,O
CapitaLand,O
in,O
2011,O
and,O
merged,O
with,O
CapitaLand,O
China,O
Manager,O
April,O
2014,O
to,O
June,O
2017,O
Senior,O
Accountant,O
July,O
2012,O
to,O
March,O
2014,O
Accountant,O
July,O
2010,O
to,O
June,O
2012,O
Promoted,O
to,O
Senior,O
Accountant,O
in,O
July,O
2012,O
and,O
Manager,O
in,O
April,O
2014,O
Responsible,O
for,O
corporate,O
finance,O
tasks,O
including,O
all,O
management,O
,,O
financial,O
,,O
statutory,O
and,O
investors,O
reports,O
Involved,O
in,O
CapitaLand,O
China,O
group,O
consolidation,O
,,O
variance,O
analysis,O
,,O
produced,O
reports,O
and,O
ad,O
hoc,O
analysis,O
for,O
senior,O
management,O
,,O
group,O
and,O
investors,O
Involved,O
in,O
preparation,O
of,O
slides,O
and,O
supporting,O
materials,O
for,O
management,O
and,O
board,O
meetings,O
Managed,O
SPVs,O
accounts,O
,,O
including,O
monthly,O
and,O
yearly,O
closing,O
,,O
cash,O
forecast,O
,,O
investors,O
reports,O
,,O
forecasting,O
and,O
budgeting,O
,,O
preparation,O
of,O
slides,O
for,O
investors,O
’,O
meetings,O
,,O
monitoring,O
of,O
fund,O
flows,O
from,O
project,O
companies,O
and,O
upstream,O
of,O
funds,O
to,O
investors,O
Reviewed,O
and,O
performed,O
detailed,O
analysis,O
of,O
China,O
real,O
estate,O
residential,O
projects,O
’,O
management,O
and,O
financial,O
reports,O
Provided,O
support,O
and,O
guidance,O
to,O
China,O
finance,O
staff,O
on,O
accounting,O
and,O
reporting,O
matters,O
Liaised,O
with,O
auditors,O
and,O
tax,O
consultants,O
on,O
year,O
-,O
end,O
audit,O
and,O
taxation,O
matters,O
Reviewed,O
journal,O
entries,O
,,O
bank,O
reconciliation,O
statement,O
and,O
audit,O
schedules,O
Involved,O
in,O
SAP,O
and,O
IBM,O
Cognos,O
Controller,O
data,O
migration,O
Reason,O
for,O
leaving,O
:,O
To,O
look,O
for,O
new,O
challenges,O
KPMG,O
LLP,O
,,O
Singapore,O
Senior,O
Associate,O
year,O
2,O
July,O
2009,O
to,O
October,O
2009,O
Senior,O
Associate,O
year,O
1,O
July,O
2008,O
to,O
June,O
2009,O
Audit,O
Associate,O
year,O
2,O
July,O
2007,O
to,O
June,O
2008,O
Audit,O
Associate,O
year,O
1,O
January,O
2007,O
to,O
June,O
2007,O
Appraised,O
as,O
EP2,O
(,O
Exceptional,O
Performance,O
Rating,O
),O
in,O
Senior,O
associate,O
year,O
2,O
promotion,O
Performed,O
statutory,O
audit,O
,,O
financial,O
statement,O
audit,O
,,O
interim,O
and,O
quarterly,O
reviews,O
Performed,O
financial,O
analysis,O
on,O
financial,O
position,O
and,O
performance,O
of,O
audit,O
clients,O
,,O
test,O
of,O
controls,O
and,O
drafting,O
of,O
financial,O
statements,O
Responsible,O
for,O
overseeing,O
the,O
audit,O
of,O
companies,O
Responsible,O
for,O
providing,O
guidance,O
to,O
junior,O
audit,O
associates,O
in,O
their,O
audit,O
work,O
,,O
highlighting,O
issues,O
found,O
to,O
seniors,O
and,O
managers,O
,,O
and,O
advising,O
clients,O
on,O
accounting,O
issues,O
Involved,O
in,O
the,O
yearly,O
audits,O
and,O
reporting,O
of,O
the,O
below,O
companies,O
such,O
as,O
:,O
New,O
Toyo,O
International,O
Holding,O
Limited,O
and,O
its,O
subsidiaries,O
The,O
Ascott,O
Group,O
Limited,O
and,O
its,O
subsidiaries,O
General,O
Electric,O
group,O
of,O
companies,O
Nortel,O
Networks,O
Singapore,O
Pte,O
Ltd,O
CrimsonLogic,O
Pte,O
Ltd,O
and,O
its,O
subsidiaries,O
The,O
American,O
School,O
Trust,O
Limited,O
Centillion,O
Environment,O
&,O
Recycling,O
(,O
Singapore,O
),O
Private,O
Limited,O
Momentive,O
Performance,O
Materials,O
group,O
of,O
companies,O
Nanyang,O
Technological,O
University,O
Reason,O
for,O
leaving,O
:,O
An,O
interest,O
in,O
career,O
advancement,O
in,O
commerce,O
MGS,O
Transport,O
Sdn,O
Bhd,O
(,O
Malaysia,O
),O
Marketing,O
Executive,O
June,O
2006,O
to,O
December,O
2006,O
Mainly,O
responsible,O
for,O
liaising,O
and,O
networking,O
with,O
customers,O
and,O
target,O
customers,O
,,O
managing,O
customer,O
relationship,O
,,O
attending,O
to,O
customers,O
’,O
queries,O
and,O
providing,O
appropriate,O
solutions,O
Reason,O
for,O
leaving,O
:,O
To,O
work,O
in,O
Singapore,O
for,O
better,O
salary,O
and,O
career,O
prospects,O
SC,O
Lim,O
,,O
Ng,O
&,O
Co.,O
(,O
Malaysia,O
),O
Audit,O
Assistant,O
April,O
2004,O
to,O
March,O
2006,O
Performed,O
statutory,O
audit,O
and,O
financial,O
statement,O
audit,O
Performed,O
financial,O
analysis,O
on,O
financial,O
position,O
and,O
performance,O
of,O
audit,O
clients,O
,,O
test,O
of,O
controls,O
and,O
drafting,O
of,O
financial,O
statements,O
Performed,O
stock,O
-,O
take,O
to,O
ensure,O
compliance,O
to,O
audit,O
assertions,O
Mostly,O
involved,O
in,O
the,O
audit,O
of,O
manufacturing,O
and,O
trading,O
corporations,O
Reason,O
for,O
leaving,O
:,O
To,O
look,O
for,O
better,O
career,O
prospects,O
EDUCATION,O
HISTORY,O
Tertiary,O
education,O
Institution,O
University,B-EDUCATION
of,I-EDUCATION
Technology,I-EDUCATION
,,O
Sydney,O
Location,O
Australia,O
Course,O
Degree,O
of,O
Bachelor,O
of,O
Business,O
Major,O
Accounting,O
and,O
Finance,O
Graduation,O
year,O
2004,O
Secondary,O
education,O
Institution,O
Chung,B-EDUCATION
Hwa,I-EDUCATION
High,I-EDUCATION
School,I-EDUCATION
Location,O
Muar,O
,,O
Johor,O
,,O
Malaysia,O
Highest,O
qualification,O
Unified,O
Examination,O
Certificate,O
Graduation,O
year,O
2000,O
TECHNICAL,O
SKILLS,O
Microsoft,O
Office,O
SAP,O
FI,O
IBM,O
Cognos,O
Controller,O
BPC,O
(,O
Business,O
Planning,O
&,O
Consolidation,O
),O
LANGUAGE,O
PROFICIENCY,O
English,O
and,O
Mandarin,O
Speak,O
fluently,O
,,O
read,O
and,O
write,O
with,O
high,O
proficiency,O
Bahasa,O
Melayu,O
Speak,O
,,O
read,O
and,O
write,O
with,O
basic,O
competency,O
Hokkien,O
and,O
Cantonese,O
Basic,O
proficiency,O
PROFESSIONAL,O
QUALIFICATION,O
CPA,O
Australia,O
